area,apartment,type,squares,price,squareprice,year,floor,elevator,condition,energy
Aurinkolahti,"3 h, k, s, eril...",kt,88.00,430000,4886,2013,5/6,on,hyvä,A2007
Pihlajamäki,3-4h+k,kt,67.50,183000,2711,1962,1/4,ei,hyvä,E2007
Munkkiniemi,"2-3h, rt, avok,...",kt,69.50,400000,5755,1957,3/3,on,hyvä,F
Herttoniemi,3h+kt,kt,57.00,309520,5430,2019,5/7,on,hyvä,C
Kruununhaka,3-4h+avok+kph/w...,kt,97.00,545000,5619,1911,2/2,ei,tyyd.,F2013
Pasila,3h+kt,kt,53.00,265770,5015,2019,3/8,on,hyvä,C
Alppila,"3h, k, kph, p",kt,63.50,293000,4614,1961,2/4,on,tyyd.,F2013
Munkkivuori,"3h, k, p",kt,67.00,295000,4403,1958,2/4,ei,tyyd.,G
Kannelmäki,"3h,k, ranskalai...",kt,69.00,215000,3116,1959,1/3,ei,tyyd.,D2007
Roihuvuori,"3h, k, kph, vh,...",kt,71.00,240000,3380,1959,4/4,ei,hyvä,F2013
Veräjämäki,"3h, avok, erill...",kt,73.00,270000,3699,1979,2/3,ei,tyyd.,E2013
Herttoniemi,3h+kt+s,kt,74.00,355110,4799,2019,5/7,on,hyvä,C
Vuosaari,3h+k,kt,75.00,168750,2250,1991,2/3,ei,tyyd.,E2007
Pikku-huopalahti,"3h, k, s",kt,76.50,340000,4444,1991,3/3,ei,hyvä,D2007
Vuosaari,"3h, k, s",kt,78.00,190000,2436,1995,2/6,on,hyvä,F
Lauttasaari,"3 h, avok, kph,...",kt,84.50,519000,6142,2001,1/5,on,hyvä,F2013
Lauttasaari,"3 h, k, kh, wc, p",kt,85.00,425000,5000,1950,4/5,on,tyyd.,B2007
Pasila,3h+kt,kt,54.00,270000,5000,2019,3/8,on,hyvä,C
Etelä-haaga,"2-3h, k, kph, p...",kt,58.00,336000,5793,1958,2/3,ei,hyvä,G2007
Aurinkolahti,"3 huonetta, kei...",kt,81.00,415000,5123,2013,5/5,ei,hyvä,A
Käpylä,"3h, k",kt,92.00,400000,4348,1924,3/4,ei,hyvä,
Vuosaari,"3h, k, kph, las...",kt,63.00,187000,2968,1966,2/3,ei,hyvä,E2007
Punavuori,"3h, avok, kph, ...",kt,76.00,684000,9000,1931,7/7,on,hyvä,
Alppila,"3h, k, parveke",kt,67.50,395000,5852,2001,5/7,on,hyvä,
Hakaniemi,"3h, k, kph, las...",kt,69.00,395000,5725,1985,6/14,on,hyvä,D2007
Viikki,"3 huonetta, kk,...",kt,69.50,297000,4273,2004,2/6,on,hyvä,D2013
Herttoniemi,"3h,k,s",kt,80.00,398000,4975,2007,6/7,on,hyvä,E
Aurinkolahti,3h+k+s+kph+eril...,kt,80.00,415940,5199,2004,5/5,on,tyyd.,F
Lauttasaari,"3h, k, kph, par...",kt,60.00,360550,6009,1960,5/5,on,hyvä,G
Meilahti,"3h, kk, kph, vh, p",kt,64.50,397500,6163,1949,5/8,on,hyvä,D2007
Roihuvuori,"3h, kt",kt,65.50,286900,4380,2017,6/6,on,hyvä,C
Kuninkaantammi,3h+kt+s,kt,70.00,299500,4279,2019,4/4,on,hyvä,C2007
Vallila,"3h, k, ikk.kh,v...",kt,70.00,320000,4571,1963,1/3,ei,hyvä,E2007
Kontula,"3h, k, lasitett...",kt,75.00,135000,1800,1967,8/8,on,hyvä,G2013
Mellunmäki,"3h,k,s",kt,76.00,190000,2500,1978,4/5,on,hyvä,E2007
Taka-töölö,"3 h, ruokasali,...",kt,93.00,615000,6613,1939,3/3,ei,hyvä,E2007
Eira,"3h, k, halli, k...",kt,96.00,1060000,11042,1912,2/3,ei,hyvä,F
Pasila,3h+kt,kt,53.00,305340,5761,2019,8/8,on,hyvä,C
Puotila,"3h, k, kph",kt,60.00,200000,3333,1961,2/3,ei,hyvä,
Tapaninvainio,"3h, k, kph, khh...",kt,66.00,239000,3621,2017,1/6,on,hyvä,C2017
Kuninkaantammi,3h+kt+s,kt,70.00,309000,4414,2019,4/4,on,hyvä,C2007
Pasila,3h+kt,kt,54.00,261480,4842,2019,2/8,on,hyvä,C
Lassila,"3h, kk, kph, piha",kt,58.50,240000,4103,1983,1/2,ei,hyvä,
Katajanokka,3h,kt,63.00,550000,8730,1885,5/6,on,hyvä,G
Herttoniemi,3h+kt+s,kt,74.00,343710,4645,2019,4/7,on,hyvä,C
Viikki,"3-4h, k, kph/s,...",kt,96.50,313000,3244,2006,3/6,on,hyvä,
Malmi,"3h, k, kph, las...",kt,72.00,175000,2431,1984,3/3,ei,tyyd.,F
Maunula,3h+k+kph+vh,kt,74.00,222500,3007,1972,2/4,on,hyvä,E
Herttoniemi,3h+kt+s,kt,74.00,334230,4517,2019,3/7,on,hyvä,C
Meilahti,"3h, k, et, kph,...",kt,90.00,473880,5265,1939,1/3,ei,tyyd.,
Taka-töölö,"3h, k",kt,60.00,443000,7383,1934,2/6,on,hyvä,D2007
Käpylä,"2-3h, k, kph, p...",kt,63.00,258000,4095,1952,1/3,ei,huono,F2013
Punavuori,"3h, k ja lasite...",kt,69.50,395000,5683,1977,1/6,on,tyyd.,F2013
Aurinkolahti,"3h,kt,s",kt,71.00,365000,5141,2017,5/7,on,hyvä,C
Lauttasaari,"3 h, avok, kph,...",kt,72.00,363000,5042,1974,3/5,on,hyvä,
Malminkartano,3h+avok.+kph-s+...,kt,74.50,205000,2752,1988,2/3,ei,hyvä,
Myllypuro,"3h,k,kph,wc,las...",kt,78.00,158000,2026,1965,4/4,ei,tyyd.,D2007
Pohjois-haaga,"3h, k, kph, las...",kt,81.50,230000,2822,1972,1/3,ei,hyvä,D2007
Sörnäinen,"3h,k",kt,61.00,241000,3951,1965,5/7,on,tyyd.,D2007
Ruskeasuo,"3h, k, lasitett...",kt,67.50,298000,4415,1969,2/3,on,tyyd.,G2013
Vesala,"3h, k, kph, sau...",kt,68.50,190000,2774,1989,2/3,ei,hyvä,
Vuosaari,"3h, k, kph, eri...",kt,77.00,189500,2461,1967,5/7,on,tyyd.,F
Malminkartano,3h+k+s,kt,80.00,261000,3263,2008,4/4,on,hyvä,D
Oulunkylä,"3h, k, kph, s, ...",kt,75.00,357500,4767,2014,2/4,on,hyvä,
Lauttasaari,"3h, k, kph, vh, p",kt,67.50,286500,4244,1977,3/5,on,tyyd.,D2007
Käpylä,"3h, k, parveke",kt,77.00,490000,6364,2017,2/6,on,hyvä,C2013
Pitäjänmäki,"1-3h, k, wc, kph",kt,95.50,494000,5173,2009,2/3,on,hyvä,F2013
Aurinkolahti,"3h,kt,s",kt,71.00,380000,5352,2017,6/7,on,hyvä,C
Metsälä,"3h, k",kt,75.10,275000,3662,1967,2/2,ei,tyyd.,F2007
Arabia,"2h, k, kph, s, ...",kt,98.50,355000,3604,2005,-1/6,on,hyvä,
Hakuninmaa,"3 h, k, s",kt,68.00,225000,3309,1987,1/2,ei,hyvä,F
Vallila,3h+k+2kph+s,kt,114.50,495000,4323,1923,-1/5,ei,hyvä,
Kannelmäki,3h+k+p,kt,69.50,205000,2950,1961,3/3,ei,hyvä,E
Itäkeskus,"3h, k, kph, ter...",kt,73.00,200000,2740,1983,1/3,ei,hyvä,D2007
Lauttasaari,"3h, kph, s, wc,...",kt,75.00,435000,5800,2003,4/7,on,tyyd.,E
Herttoniemi,3h+kt,kt,57.00,286780,5031,2019,2/7,on,hyvä,C
Herttoniemi,3h+kt,kt,57.00,286780,5031,2019,2/7,on,hyvä,C
Herttoniemi,3h+kt,kt,57.00,292450,5131,2019,3/7,on,hyvä,C
